-0.1,0.91689
-0.073737,0.98813
-0.047475,0.93696
-0.021212,0.98158
0.0050505,1.0254
0.031313,0.91645
0.057576,0.89837
0.083838,0.89959
0.1101,0.81606
0.13636,0.92418
0.16263,0.82842
0.18889,0.74089
0.21515,0.72001
0.24141,0.6309
0.26768,0.48948
0.29394,0.56405
0.3202,0.41034
0.34646,0.37126
0.37273,0.34131
0.39899,0.19192
0.42525,0.14638
0.45152,0.098523
0.47778,0.10721
0.50404,0.11741
0.5303,-0.0026633
0.55657,0.017575
0.58283,-0.02043
0.60909,-0.081365
0.63535,-0.089139
0.66162,-0.078568
0.68788,-0.03166
0.71414,-0.10143
0.7404,-0.087567
0.76667,-0.068354
0.79293,-0.10881
0.81919,-0.049598
0.84545,-0.051791
0.87172,-0.149
0.89798,-0.09997
0.92424,-0.11383
0.95051,-0.17633
0.97677,-0.13987
1.003,-0.04757
1.0293,-0.075946
1.0556,-0.093171
1.0818,-0.092394
1.1081,0.014726
1.1343,-0.10105
1.1606,-0.10283
1.1869,-0.042439
1.2131,0.043415
1.2394,-0.075077
1.2657,-0.014891
1.2919,0.011145
1.3182,-0.048363
1.3444,0.032188
1.3707,-0.034677
1.397,0.029461
1.4232,0.0064293
1.4495,-0.002947
1.4758,-0.098569
1.502,0.019965
1.5283,-0.037788
1.5545,-0.070008
1.5808,-0.11783
1.6071,0.00029006
1.6333,0.0069482
1.6596,-0.10625
1.6859,-0.010245
1.7121,-0.048557
1.7384,-0.0032864
1.7646,-0.10369
1.7909,0.010826
1.8172,-0.033284
1.8434,0.083492
1.8697,-0.083332
1.896,-0.04756
1.9222,-0.055028
1.9485,0.053085
1.9747,0.05724
2.001,-0.039919
2.0273,0.0015134
2.0535,0.089494
2.0798,-0.0032214
2.1061,-0.007565
2.1323,-0.11075
2.1586,-0.12985
2.1848,0.057643
2.2111,0.090967
2.2374,0.0080979
2.2636,-0.022229
2.2899,-0.0313
2.3162,0.050844
2.3424,0.09303
2.3687,0.054615
2.3949,0.071434
2.4212,0.036572
2.4475,-0.10769
2.4737,-0.066004
2.5,0.080721
